Instance ID,Vertices,Author,Source Image Filename,Timestamp,Class,Validated,Device Text,Board Text,Logo,Defect,Notes
0,"[[[1180, 1294], [1180, 750], [1412, 750], [1412, 1294]]]",spandurangi,58.png,2020-11-25 11:10:49,IC,False,,,,False,
1,"[[[1652, 744], [1652, 992], [2302, 992], [2302, 744]]]",spandurangi,58.png,2020-11-25 11:10:59,IC,False,,,,False,
2,"[[[1129, 1663], [1129, 2332], [1597, 2332], [1597, 1663]]]",spandurangi,58.png,2020-11-25 11:11:10,IC,False,,,,False,
3,"[[[1855, 1796], [1855, 1528], [2478, 1528], [2478, 1796]]]",spandurangi,58.png,2020-11-25 11:11:31,IC,False,,,,False,
4,"[[[1869, 2515], [1869, 2248], [2502, 2248], [2502, 2515]]]",spandurangi,58.png,2020-11-25 11:11:49,IC,False,,,,False,
5,"[[[1137, 3489], [1137, 3606], [1294, 3606], [1294, 3489]]]",spandurangi,58.png,2020-11-25 11:12:04,IC,False,,,,False,
6,"[[[1665, 3481], [1665, 3598], [1834, 3598], [1834, 3481]]]",spandurangi,58.png,2020-11-25 11:12:12,IC,False,,,,False,
7,"[[[1753, 2950], [1753, 3205], [1189, 3205], [1189, 2950]]]",spandurangi,58.png,2020-11-25 11:12:24,IC,False,,,,False,
8,"[[[2970, 3386], [2970, 3502], [3127, 3502], [3127, 3386]]]",spandurangi,58.png,2020-11-25 11:12:36,IC,False,,,,False,
9,"[[[3325, 3388], [3325, 3541], [3532, 3541], [3532, 3388]]]",spandurangi,58.png,2020-11-25 11:12:41,IC,False,,,,False,
10,"[[[3332, 3581], [3332, 3746], [3538, 3746], [3538, 3581]]]",spandurangi,58.png,2020-11-25 11:12:47,IC,False,,,,False,
11,"[[[3552, 2581], [3552, 2705], [3712, 2705], [3712, 2581]]]",spandurangi,58.png,2020-11-25 11:13:01,IC,False,,,,False,
12,"[[[2696, 3063], [2696, 2791], [2989, 2791], [2989, 3063]]]",spandurangi,58.png,2020-11-25 11:13:26,IC,False,,,,False,
13,"[[[5218, 3017], [5218, 3278], [4858, 3278], [4858, 3017]]]",spandurangi,58.png,2020-11-25 11:13:44,IC,False,,,,False,
14,"[[[5436, 3143], [5436, 3266], [5269, 3266], [5269, 3143]]]",spandurangi,58.png,2020-11-25 11:13:50,IC,False,,,,False,
15,"[[[5041, 2622], [5041, 2823], [5360, 2823], [5360, 2622]]]",spandurangi,58.png,2020-11-25 11:14:02,IC,False,,,,False,
16,"[[[4613, 2640], [4613, 2840], [4936, 2840], [4936, 2640]]]",spandurangi,58.png,2020-11-25 11:14:07,IC,False,,,,False,
17,"[[[2886, 1457], [2886, 2274], [3693, 2274], [3693, 1457]]]",spandurangi,58.png,2020-11-25 11:14:29,IC,False,,,,False,
18,"[[[4612, 2348], [4612, 1903], [4837, 1903], [4837, 2348]]]",spandurangi,58.png,2020-11-25 11:15:17,IC,False,,,,False,
19,"[[[4137, 2061], [4137, 1771], [4239, 1771], [4239, 2061]]]",spandurangi,58.png,2020-11-25 11:15:26,IC,False,,,,False,
20,"[[[4825, 1761], [4825, 1472], [4927, 1472], [4927, 1761]]]",spandurangi,58.png,2020-11-25 11:15:38,IC,False,,,,False,
21,"[[[4811, 1321], [4811, 1025], [4925, 1025], [4925, 1321]]]",spandurangi,58.png,2020-11-25 11:16:41,IC,False,,,,False,
22,"[[[4187, 1588], [4187, 1286], [3901, 1286], [3901, 1588]]]",spandurangi,58.png,2020-11-25 11:16:58,IC,False,,,,False,
23,"[[[4644, 1286], [4644, 1581], [4390, 1581], [4390, 1286]]]",spandurangi,58.png,2020-11-25 11:17:02,IC,False,,,,False,
24,"[[[4020, 550], [4020, 988], [4264, 988], [4264, 550]]]",spandurangi,58.png,2020-11-25 11:17:08,IC,False,,,,False,
25,"[[[3421, 1002], [3421, 550], [3650, 550], [3650, 1002]]]",spandurangi,58.png,2020-11-25 11:17:21,IC,False,,,,False,
26,"[[[2780, 1168], [2780, 534], [3015, 534], [3015, 1168]]]",spandurangi,58.png,2020-11-25 11:17:34,IC,False,,,,False,
