Instance ID,Vertices,Author,Source Image Filename,Timestamp,Class,Validated,Device Text,Board Text,Logo,Defect,Notes
0,"[[[1137, 711], [1137, 895], [790, 895], [790, 711]]]",spandurangi,56.png,2020-11-25 10:41:03,IC,False,,,,False,
1,"[[[663, 1099], [663, 1322], [812, 1322], [812, 1099]]]",spandurangi,56.png,2020-11-25 10:41:14,IC,False,,,,False,
2,"[[[1221, 1281], [1221, 1435], [1396, 1435], [1396, 1281]]]",spandurangi,56.png,2020-11-25 10:41:26,IC,False,,,,False,
3,"[[[1820, 1421], [1820, 1277], [1992, 1277], [1992, 1421]]]",spandurangi,56.png,2020-11-25 10:41:40,IC,False,,,,False,
4,"[[[1465, 764], [1465, 947], [1822, 947], [1822, 764]]]",spandurangi,56.png,2020-11-25 10:41:57,IC,False,,,,False,
5,"[[[1686, 2361], [1686, 2507], [1522, 2507], [1522, 2361]]]",spandurangi,56.png,2020-11-25 10:42:18,IC,False,,,,False,
6,"[[[2541, 1344], [2541, 2302], [3511, 2302], [3511, 1344]]]",spandurangi,56.png,2020-11-25 10:42:27,IC,False,,,,False,
7,"[[[4334, 1489], [4334, 1932], [4789, 1932], [4789, 1489]]]",spandurangi,56.png,2020-11-25 10:42:36,IC,False,,,,False,
8,"[[[5730, 1981], [5730, 2154], [5870, 2154], [5870, 1981]]]",spandurangi,56.png,2020-11-25 10:42:43,IC,False,,,,False,
9,"[[[5963, 1328], [5963, 1422], [6111, 1422], [6111, 1328]]]",spandurangi,56.png,2020-11-25 10:42:56,IC,False,,,,False,
