Instance ID,Vertices,Author,Source Image Filename,Timestamp,Class,Validated,Text,Logo,Defect,Orientation,Notes
0,"[[[1571, 3140], [1571, 3206], [1637, 3206], [1637, 3140]]]",Rajat,58.png,2020-08-05 19:50:01,Device,True,F,Fairchild Semiconductor,False,180,
1,"[[[1398, 3051], [1398, 3123], [1646, 3123], [1646, 3051]]]",Rajat,58.png,2020-08-05 19:50:47,Device,False,74ACTQ,,False,180,
2,"[[[1739, 3515], [1739, 3552], [1776, 3552], [1776, 3515]]]",Rajat,58.png,2020-08-05 19:51:57,Device,True,,Analog Devices,False,0,
3,"[[[2227, 2410], [2227, 2500], [2385, 2500], [2385, 2410]]]",Rajat,58.png,2020-08-07 16:26:39,Device,True,SEC,Samsung Electronics,False,180,
4,"[[[1168, 1856], [1168, 1951], [1554, 1951], [1554, 1856]]]",Rajat,58.png,2020-08-07 16:30:00,Device,True,ALTERA,Altera,False,0,
5,"[[[2198, 1686], [2198, 1779], [2354, 1779], [2354, 1686]]]",Rajat,58.png,2020-08-07 16:31:53,Device,True,SEC,Samsung Electronics,False,180,
6,"[[[2837, 2937], [2837, 2972], [2874, 2972], [2874, 2937]]]",Rajat,58.png,2020-08-07 16:33:18,Device,True,,Analog Devices,False,0,
7,"[[[4959, 3065], [4959, 3105], [5201, 3105], [5201, 3065]]]",Rajat,58.png,2020-08-07 16:44:05,Device,True,MAXIM,Maxim Integrated Circuit,False,0,
8,"[[[3673, 3406], [3673, 3452], [3727, 3452], [3727, 3406]]]",Rajat,58.png,2020-08-07 17:00:52,Device,True,,General Semiconductors Industries Inc,False,0,
9,"[[[3812, 3328], [3812, 3372], [3863, 3372], [3863, 3328]]]",Rajat,58.png,2020-08-07 17:01:02,Device,True,,General Semiconductors Industries Inc,False,180,
10,"[[[3463, 3475], [3463, 3529], [3524, 3529], [3524, 3475]]]",Rajat,58.png,2020-08-07 17:01:09,Device,True,,Harris Semiconductors-1,False,180,
11,"[[[3468, 3655], [3468, 3702], [3530, 3702], [3530, 3655]]]",Rajat,58.png,2020-08-07 17:01:21,Device,True,H,Harris Semiconductors-2,False,0,
12,"[[[4919, 3569], [4919, 3615], [4962, 3615], [4962, 3569]]]",Rajat,58.png,2020-08-07 17:02:21,Device,True,,General Semiconductors Industries Inc,False,270,
13,"[[[4916, 3443], [4916, 3488], [4960, 3488], [4960, 3443]]]",Rajat,58.png,2020-08-07 17:46:11,Device,True,,General Semiconductors Industries Inc,False,270,
14,"[[[4960, 3438], [4960, 3498], [4990, 3498], [4990, 3438]]]",Rajat,58.png,2020-08-07 17:47:38,Device,False,88,,False,90,
15,"[[[4990, 3442], [4990, 3500], [5019, 3500], [5019, 3442]]]",Rajat,58.png,2020-08-07 17:48:01,Device,False,S4,,False,90,
16,"[[[4963, 3567], [4963, 3624], [4993, 3624], [4993, 3567]]]",Rajat,58.png,2020-08-07 17:48:08,Device,False,88,,False,90,
17,"[[[4994, 3566], [4994, 3624], [5025, 3624], [5025, 3566]]]",Rajat,58.png,2020-08-07 17:48:12,Device,False,S4,,False,90,
18,"[[[4956, 3158], [4956, 3206], [5061, 3206], [5061, 3158]]]",Rajat,58.png,2020-08-07 17:48:22,Device,False,9833,,False,0,
19,"[[[4956, 3114], [4956, 3158], [5217, 3158], [5217, 3114]]]",Rajat,58.png,2020-08-07 17:52:57,Device,False,MAX202ECWE,,False,0,
20,"[[[5170, 3435], [5170, 3480], [5216, 3480], [5216, 3435]]]",Rajat,58.png,2020-08-07 17:53:23,Device,True,,General Semiconductors Industries Inc,False,270,
21,"[[[5215, 3431], [5215, 3488], [5248, 3488], [5248, 3431]]]",Rajat,58.png,2020-08-07 17:53:39,Device,False,88,,False,90,
22,"[[[5248, 3431], [5248, 3487], [5277, 3487], [5277, 3431]]]",Rajat,58.png,2020-08-07 17:53:42,Device,False,S4,,False,90,
23,"[[[5251, 3558], [5251, 3616], [5284, 3616], [5284, 3558]]]",Rajat,58.png,2020-08-07 17:53:49,Device,False,S4,,False,90,
24,"[[[5221, 3556], [5221, 3616], [5254, 3616], [5254, 3556]]]",Rajat,58.png,2020-08-07 17:53:54,Device,False,88,,False,90,
25,"[[[5179, 3565], [5179, 3614], [5219, 3614], [5219, 3565]]]",Rajat,58.png,2020-08-07 17:54:00,Device,True,,General Semiconductors Industries Inc,False,270,
26,"[[[5291, 3166], [5291, 3194], [5387, 3194], [5387, 3166]]]",Rajat,58.png,2020-08-07 17:54:22,Device,False,ACMA,,False,180,
27,"[[[5296, 3196], [5296, 3227], [5386, 3227], [5386, 3196]]]",Rajat,58.png,2020-08-07 17:54:26,Device,False,2951,,False,180,
28,"[[[5221, 2738], [5221, 2791], [5312, 2791], [5312, 2738]]]",Rajat,58.png,2020-08-07 17:54:33,Device,False,HP,,False,180,
29,"[[[5061, 2742], [5061, 2787], [5194, 2787], [5194, 2742]]]",Rajat,58.png,2020-08-07 17:54:50,Device,False,2231,,False,180,
30,"[[[5133, 2673], [5133, 2726], [5274, 2726], [5274, 2673]]]",Rajat,58.png,2020-08-07 17:55:17,Device,False,9803,,False,180,
31,"[[[5047, 2675], [5047, 2726], [5133, 2726], [5133, 2675]]]",Rajat,58.png,2020-08-07 17:55:22,Unassigned,True,,Unsure,False,180,
32,"[[[4645, 2665], [4645, 2735], [4745, 2735], [4745, 2665]]]",Rajat,58.png,2020-08-07 17:55:28,Device,False,HP,,False,0,
33,"[[[4764, 2669], [4764, 2731], [4916, 2731], [4916, 2669]]]",Rajat,58.png,2020-08-07 17:55:31,Device,False,2231,,False,0,
34,"[[[4832, 2740], [4832, 2796], [4922, 2796], [4922, 2740]]]",Rajat,58.png,2020-08-07 17:55:44,Device,True,,Unsure,False,0,
35,"[[[4689, 2740], [4689, 2790], [4828, 2790], [4828, 2740]]]",Rajat,58.png,2020-08-07 17:55:53,Device,False,9803,,False,0,
36,"[[[4759, 1991], [4759, 2062], [4832, 2062], [4832, 1991]]]",Rajat,58.png,2020-08-07 17:56:00,Device,True,F,Fairchild Semiconductor,False,270,
37,"[[[4762, 2069], [4762, 2275], [4829, 2275], [4829, 2069]]]",Rajat,58.png,2020-08-07 17:56:05,Device,False,P85AG,,False,90,
38,"[[[4673, 1987], [4673, 2316], [4744, 2316], [4744, 1987]]]",Rajat,58.png,2020-08-07 17:56:12,Device,False,74ACT244,,False,90,
39,"[[[4175, 1970], [4175, 2055], [4241, 2055], [4241, 1970]]]",Rajat,58.png,2020-08-07 17:56:19,Device,True,,SGS-Thomson-2,False,90,
40,"[[[4144, 1783], [4144, 1945], [4184, 1945], [4184, 1783]]]",Rajat,58.png,2020-08-07 17:56:25,Device,False,074AC,,False,270,
